Original File Name,Converted File Name,Status,HEIC Size (KB),JPG Size (KB),Dimensions,Timestamp
chef-with-trumpet.heic,chef-with-trumpet.jpg,Success,1580.12,2528.62,4032x3024,2025-04-14 22:05:22
childrens-show-theater.heic,childrens-show-theater.jpg,Success,1300.95,2094.6,4032x3024,2025-04-14 22:05:24
classic-car.heic,classic-car.jpg,Success,1914.81,2538.11,3024x4032,2025-04-14 22:05:26
greyhounds-looking-for-a-table.heic,greyhounds-looking-for-a-table.jpg,Success,1681.09,2949.88,3024x4032,2025-04-14 22:05:28
sewing-threads.heic,sewing-threads.jpg,Success,1557.86,2540.81,4000x3000,2025-04-14 22:05:30
shelf-christmas-decoration.heic,shelf-christmas-decoration.jpg,Success,1408.47,2086.71,4000x3000,2025-04-14 22:05:31
soundboard.heic,soundboard.jpg,Success,1191.62,2040.33,3000x4000,2025-04-14 22:05:33
