AppName,Publisher,Version,IconPath,DeployType,ContentPath,InstallCmd,UninstallCmd,MsiProductCode,ExpectedMsiVersion,DetectFilePath,DPNames
RealDWG 2024.1.8, Autodesk, 2024.1.8,\\clesccm\Application Source\Cad Applications\RealDWG\Logo.png,Script,\\clesccm\Application Source\Cad Applications\RealDWG\2024.1.8,RealDWG-2024.1.8-Autodesk_RealDWG_Shared_2024.exe /quiet /norestart,\\clesccm\Application Source\Cad Applications\RealDWG\2024.1.8\RealDWG-2024.1.8-Autodesk_RealDWG_Shared_2024.exe /uninstall /quiet,,,"C:\ProgramData\Autodesk\Uninstallers\RealDWG 2024.1.8 Update 64-Bit\bundle_data.xml",
Build Tools for Visual Studio, Microsoft, 2022,\\clesccm\Application Source\Cad Applications\RealDWG\Logo.png,Script,\\clesccm\Application Source\Microsoft\17.0,Build Tools for Visual Studio 2022.exe /quiet /norestart,\\clesccm\Application Source\Microsoft\Build Tools for Visual Studio 2022.exe /uninstall /quiet,,,"detect file",
